,EBITDA (Period 1),Retained Earnings (Period 1),Total Assets (Period 1),Total Current Liabilities (Period 1),Total Non Current Liabilities (Incl Provisions) (Period 1),Total Sales / Turnover (Period 1),Working Capital (Period 1),Loan ID,Company Name,PD1,PD2,PD3,PD4,PDwithin1,PDwithin2,PDwithin3,PDwithin4
64,1081661,3638734,10342817,5226669,2056922,26312081,4389647,137,FRUEHAUF LTD,0.236538591,0.289227848,0.344267904,0.245301467,0.236538591,0.525082304,0.867542518,1.110715891
65,874000,610516,938308,177862,123659,2208000,715709,138,TRUCORP HOLDINGS LIMITED,0.190164143,0.278245185,0.384757307,0.286772296,0.190164143,0.467880206,0.85083731,1.13516964
66,1264000,1735000,4020000,2023000,-1000,6541000,207000,139,TOTAL RESOURCES (UK) LIMITED,0.207018012,0.27246931,0.294348059,0.23371776,0.207018012,0.478923262,0.771861619,1.003775402
67,745000,1046046,3449858,2398945,4867,11514000,1012168,142,MORECROFT HOLDINGS LTD,0.225004277,0.260355243,0.333983686,0.243626005,0.225004277,0.48477371,0.817138331,1.058773575
68,516000,-116000,2609000,2287000,2248000,7507000,478000,144,CHANDERHILL LIMITED,4.978227984,3.280565956,1.678643158,1.24188856,4.978227984,8.095479887,9.638228826,10.76042133
69,724000,595000,2641000,1247000,202000,6387000,213000,147,MX HOLDINGS LIMITED,0.212940067,0.261689424,0.30666759,0.219732617,0.212940067,0.47407225,0.779286014,0.997306286
70,920354,767945,2759097,1977864,12988,7651519,599697,151,MAR FACILITIES (HOLDINGS) LTD,0.257458918,0.296468033,0.343870705,0.261522953,0.257458918,0.553163669,0.895132206,1.154314183
71,748412,422966,1802880,372827,57009,2956799,1167872,153,TRESTE HIRE & SALES LIMITED,0.203443138,0.254014242,0.375160587,0.243554625,0.203443138,0.456940606,0.830386932,1.071919111
72,1195703,747719,8930423,6292000,1891000,15500226,-3363315,156,KELERBAY LIMITED,4.749451129,6.402390462,5.381765055,4.246953891,4.749451129,10.84776319,15.64572711,19.22821419
73,493000,1320117,1706785,386668,0,2650000,455376,160,FARMERS COTTAGE LAMPS LIMITED,0.193691975,0.227990136,0.27805727,0.229390774,0.193691975,0.421240512,0.698126492,0.925915829
74,709055,364830,2770123,1916697,0,14463579,112011,161,GLEN CLEANING COMPANY LIMITED,0.353418407,0.559723221,0.620110782,0.449101735,0.353418407,0.911163463,1.525624022,1.967874154
75,789801,632320,4357213,3574459,150434,11611136,908249,162,MIDWEST ELECTRICAL SERVICES LIMITED,0.388115549,0.501008466,0.503115497,0.409117833,0.388115549,0.887179523,1.385831482,1.789279632
76,680217,1404976,2926000,1145000,159000,4410578,187298,163,COLD FORMED PRODUCTS LIMITED,0.207723346,0.266683372,0.276996044,0.231790126,0.207723346,0.473852755,0.749536245,0.97958902
77,1575,1130,4424,1578,1715,6341,468,165,MANAGED SERVICED OFFICES LIMITED,0.370378644,0.409407702,0.481011377,0.386234532,0.370378644,0.778269986,1.255537797,1.636923008
78,117809,243450,498800,255350,0,3596312,213512,168,DIGITAL FUEL MARKETING LTD,0.185007985,0.257695955,0.271812347,0.214268618,0.185007985,0.442227182,0.7128375,0.925578731
79,300000,-2200000,3700000,420000,3280000,1350000,,169,PARADIGM INTERVENTION TECHNOLOGIES LIMITED,13.97264557,17.62937381,15.27727103,16.74302895,13.97264557,29.13872946,39.96439781,50.01617607
80,-49000,-997175,2358132,3355306,0,11711000,-915000,171,CLASS DELTA LTD,4.909635341,2.408913334,4.043308482,2.705425306,4.909635341,7.200279815,10.95245877,13.36157349
81,2138000,5578000,10773000,5195000,,28500000,-556000,172,EMICO HOLDINGS LIMITED,0.596921771,0.895377525,0.636035964,0.71738549,0.596921771,1.486954593,2.11353299,2.815756302
82,1680,905,5875,1620,3908,10849,473,174,TFM NETWORKS LIMITED,0.565637702,0.853713683,1.122658135,0.653234559,0.565637702,1.414522458,2.521300342,3.158064896
83,1100000,694000,2349000,398000,700000,6097000,-128000,179,FIRST CARE AMBULANCE LIMITED,0.232744752,0.286000701,0.406955997,0.296386203,0.232744752,0.518079801,0.922927441,1.216578214
84,539113,1488252,1791441,252586,50603,1993242,701801,182,SIRIUS CONFERENCE & EVENTS LIMITED,0.196005926,0.231766158,0.2805076,0.230415301,0.196005926,0.427317809,0.70662675,0.935413875
85,668000,-8478000,4923000,3068000,755000,17395000,862000,183,POD FOOD LIMITED,3.980789701,1.248965288,1.506927828,1.037444656,3.980789701,5.180036308,6.608904727,7.577785654
